CRA_ID,ADDRESS,APPLICATION_DATE,CONSTRUCTION_TYPE,HCA_ABATED_VALUE,ABATEMENT_QUALIFYING_TERM,INCENTIVE_AMOUNT,LEED_CLASS,LEED_DATE,OWNERSHIP_TYPE,CITY_DETERMINATION,LONGITUDE,LATITUDE,DCED_NEIGHBORHOOD,NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD,CONSTRUCTION_VALUE_IMPROVEMENT
a0F4W00000b26FRUAY,749 GREENWOOD AV,10/05/2022 12:00:00 AM,NEW,269560,10,76075.03289064,NOT CERTIFIED,,,QUALIFIED,-84.48781551,39.1524397700299,,NORTH AVONDALE,AVONDALE - NORTH AVONDALE,195000
a0F4W00000b26G6UAI,3310 NASH AV,10/06/2022 12:00:00 AM,NEW,1155000,15,488944.926855,PLATINUM,,,QUALIFIED,-84.4285449,39.1253271400299,,MOUNT LOOKOUT,MOUNT LOOKOUT,1450000
a0F4W00000b26GVUAY,2618 HACKBERRY ST,10/11/2022 12:00:00 AM,NEW,461920,15,195544.10442672,GOLD,,,QUALIFIED,-84.47489116,39.1276490400299,,EAST WALNUT HILLS,EAST WALNUT HILLS,496000
a0F4W00000b26H4UAI,3071 WALWORTH AV,10/17/2022 12:00:00 AM,NEW,562000,15,237910.864842,GOLD,12/22/2022 12:00:00 AM,,QUALIFIED,-84.44651867,39.1204592700299,,EAST END,EAST END,1099000
a0F4W00000b26TUUAY,3500 MADISON PARK DR,10/13/2022 12:00:00 AM,NEW,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,,,,OAKLEY,N/A,421845
a0F4W00000b26V7UAI,3500 MADISON PARK DR,10/13/2022 12:00:00 AM,NEW,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,,,,OAKLEY,N/A,424931
a0F4W00000b279XUAQ,3500 MADISON PARK DR,10/13/2022 12:00:00 AM,NEW,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,,,,OAKLEY,N/A,420421
a0F4W00000b27AaUAI,3506 MADISON PARK DR,10/13/2022 12:00:00 AM,NEW,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,,,,OAKLEY,N/A,502796
a0F4W00000b27AkUAI,3506 MADISON PARK DR,10/13/2022 12:00:00 AM,NEW,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,,,,OAKLEY,N/A,425643
a0F4W00000b27BJUAY,3506 MADISON PARK DR,10/13/2022 12:00:00 AM,NEW,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,,,,OAKLEY,N/A,418047
