Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
152,Tuesday Sep 17,boxscore,CIN,,ATL,W,6,5,,74-78,4,13.5,Suter,Johnson,Díaz,3:04,N,20955,.00,+,
153,Wednesday Sep 18,boxscore,CIN,,ATL,L,1,7,,74-79,4,14.5,Schwellenbach,Santillan,,2:20,N,18959,.00,-,
154,Thursday Sep 19,boxscore,CIN,,ATL,L,3,15,,74-80,4,14.5,Sale,Aguiar,,2:58,D,20071,.00,--,
155,Friday Sep 20,boxscore,CIN,,PIT,W,8,3,,75-80,4,13.5,Martinez,Keller,,2:21,N,40541,.00,+,
156,Saturday Sep 21,boxscore,CIN,,PIT,W,7,1,,76-80,4,12.5,Lowder,Jones,,2:28,D,25574,.00,++,
157,Sunday Sep 22,boxscore,CIN,,PIT,L,0,2,,76-81,4,13.5,Skenes,Greene,Chapman,2:25,D,34750,.00,-,
158,Tuesday Sep 24,boxscore,CIN,@,CLE,L,1,6,,76-82,4,14.5,Bibee,Spiers,,2:22,N,19752,.00,--,
159,Wednesday Sep 25,boxscore,CIN,@,CLE,L,2,5,,76-83,4,14.5,Gaddis,Pagán,Clase,2:12,N,25860,.00,---,
160,Friday Sep 27,boxscore,CIN,@,CHC,L,0,1,,76-84,4,16.0,Taillon,Martinez,Hodge,1:48,D,32083,.00,----,
161,Saturday Sep 28,boxscore,CIN,@,CHC,L,0,3,,76-85,4,17.0,Miller,Farmer,Hodge,2:13,D,38180,.00,-----,
162,Sunday Sep 29,boxscore,CIN,@,CHC,W,3,0,10,77-85,4,16.0,Santillan,Roberts,Farmer,3:01,D,33792,.00,+,
